hostname,temp,filesize_mb,date,part_count
MFLX-142,A,0.83,4/2/2024,500
STS-316,A,37.76,4/2/2024,17503
lct25,NA,0.01,4/2/2024,192
MFLX-017,C,6.12,4/2/2024,9792
STS-100,C,70.81,4/2/2024,2254
MFLX-186,NA,118.74,4/2/2024,19032
UFLX-077,C,74.28,4/2/2024,562
STS-308,A,135.57,4/2/2024,7697
MFLX-159,H,241.53,4/2/2024,10708
MFLX-007,H,134.12,4/2/2024,5952
RFLX-008,H,6.8,4/2/2024,522
STS-132,C,72.05,4/2/2024,2254
MFLX-192,A,1.06,4/2/2024,384
MFLX-143,A,1.56,4/2/2024,500
ctsq84,NA,1.17,4/2/2024,417
hscq33,NA,0.09,4/2/2024,125
MFLX-143,A,101.5,4/2/2024,15019
MFLX-154,A,1.48,4/2/2024,221
hsc05,NA,0.13,4/2/2024,243
lct28,A,1.06,4/2/2024,869
lct98,A,0.05,4/2/2024,125
lct84,A,3.68,4/2/2024,7800
STS-272,C,361.82,4/2/2024,12089
STS-091,C,2.14,4/2/2024,494
STS-367,A,24.47,4/2/2024,1044
MFLX-045,NA,72.08,4/2/2024,5994
MFLX-195,A,17.8,4/2/2024,1255
MFLX-088,A,0.49,4/2/2024,125
MFLX-004,A,1.25,4/2/2024,125
STS-020,A,11.18,4/2/2024,6042
5400-040,A,1.21,4/2/2024,200
5400-041,NA,0.76,4/2/2024,125
STS-236,H,332.38,4/2/2024,5872
STS-368,A,79.46,4/2/2024,8101
STS-267,C,390.03,4/2/2024,13189
MFLX-147,A,19.2,4/2/2024,851
MFLX-069,A,54.82,4/2/2024,5331
STS-134,C,70.9,4/2/2024,2254
MFLX-040,A,0.74,4/2/2024,264
STS-129,C,71.98,4/2/2024,2254
STS-122,C,72.13,4/2/2024,2254
STS-092,C,70.82,4/2/2024,2254
MFLX-115,C,56.93,4/2/2024,10108
STS-194,A,0.53,4/2/2024,312
STS-027,A,8.76,4/2/2024,372
ETS88-015,H,8.63,4/2/2024,4438
MFLX-140,A,22.6,4/2/2024,223
MFLX-060,NA,118.93,4/2/2024,24383
MFLX-163,A,30.03,4/2/2024,3454
UFLX-017,C,32.86,4/2/2024,410
STS-095,C,71.88,4/2/2024,2254
STS-089,A,3.39,4/2/2024,426
STS-194,A,0.22,4/2/2024,188
hscq22,NA,0.08,4/2/2024,112
MFLX-142,A,0.36,4/2/2024,192
MFLX-103,NA,38.89,4/2/2024,9145
lct25,NA,2.85,4/2/2024,20476
hscq27,NA,1.11,4/2/2024,5897
STS-121,C,83.45,4/2/2024,10090
lct46,NA,11.66,4/2/2024,28380
lct106,NA,11.67,4/2/2024,28380
STS-194,A,0.26,4/2/2024,201
STS-194,A,0.17,4/2/2024,116
5400-026,NA,0.95,4/2/2024,1973
MFLX-192,A,46.66,4/2/2024,16094
STS-262,H,118.52,4/2/2024,2150
RFLX-008,H,2.56,4/2/2024,200
MFLX-220,H,12.83,4/2/2024,551
STS-172,A,178.37,4/2/2024,3833
STS-259,A,22.74,4/2/2024,1397
cts49,NA,0.08,4/2/2024,126
MFLX-154,A,9.93,4/2/2024,1989
cts65,NA,0.08,4/2/2024,105
cts12,NA,0.46,4/2/2024,800
lct44,NA,0.54,4/2/2024,500
ctsq41,NA,1.49,4/2/2024,1681
ctsq54,NA,18.53,4/2/2024,16845
lct51,NA,0.02,4/2/2024,186
lct98,A,0.08,4/2/2024,128
lct51,NA,1.47,4/2/2024,15744
lct80,NA,0.03,4/2/2024,144
MFLX-049,A,23.09,4/2/2024,311
pilct01,NA,0.33,4/2/2024,463
STS-317,A,24.37,4/2/2024,2439
STS-071,A,66.3,4/2/2024,13877
STS-011,H,204.5,4/2/2024,2547
STS-153,A,10.28,4/2/2024,2376
MFLX-108,H,59.31,4/2/2024,10927
STS-037,A,86.47,4/2/2024,21704
ETS88-020,A,0.65,4/2/2024,195
MFLX-088,A,12.37,4/2/2024,3510
MFLX-070,C,8.05,4/2/2024,125
STS-251,C,652.58,4/2/2024,21805
STS-380,A,0.82,4/2/2024,354
MFLX-030,H,10.97,4/2/2024,508
MFLX-195,A,62.39,4/2/2024,4413
STS-400,C,14.75,4/2/2024,492
STS-252,H,347.56,4/2/2024,6117
STS-240,C,119.76,4/2/2024,4055
MFLX-075,NA,0.1,4/2/2024,120
MFLX-110,NA,1.95,4/2/2024,318
MFLX-115,C,56.91,4/2/2024,10108
MFLX-110,NA,1.83,4/2/2024,302
MFLX-075,NA,17.7,4/2/2024,23678
MFLX-110,NA,1.81,4/2/2024,330
MFLX-105,NA,122.54,4/2/2024,614
MFLX-110,NA,1.82,4/2/2024,349
hscq22,NA,4.61,4/2/2024,6321
STS-128,C,71.66,4/2/2024,2254
MFLX-020,NA,10.46,4/2/2024,529
MFLX-054,A,0.25,4/2/2024,500
STS-100,C,71.61,4/2/2024,2254
STS-120,C,70.93,4/2/2024,2254
STS-120,C,36.32,4/2/2024,1207
STS-134,C,71.32,4/2/2024,2254
STS-092,C,71.63,4/2/2024,2254
MFLX-054,A,9.28,4/2/2024,24899
STS-129,C,72.84,4/2/2024,2254
UFLX-077,C,269.44,4/2/2024,1618
STS-095,C,71.08,4/2/2024,2254
5400-035,NA,0.41,4/2/2024,144
STS-121,C,83.51,4/2/2024,10090
STS-122,C,71.89,4/2/2024,2254
RFLX-010,A,134.52,4/2/2024,4184
MFLX-142,A,29.02,4/2/2024,15360
MFLX-142,A,0.66,4/2/2024,500
STS-315,A,6.63,4/2/2024,2039
MFLX-161,H,66.86,4/2/2024,14010
STS-145,C,8.03,4/2/2024,465
STS-081,C,70.18,4/2/2024,2254
MFLX-180,A,6.81,4/2/2024,286
STS-262,H,10.83,4/2/2024,181
STS-388,A,7.44,4/2/2024,1026
STS-061,C,68.42,4/2/2024,1009
STS-389,A,13.4,4/2/2024,123
5400-044,C,0.68,4/2/2024,407
UFLX-055,A,29.88,4/2/2024,1000
STS-132,C,72.38,4/2/2024,2254
ctsq17,NA,0.46,4/2/2024,506
MFLX-200,A,0.5,4/2/2024,317
STS-303,A,18.32,4/2/2024,4939
ate01,NA,4.87,4/2/2024,258
STS-125,A,118.11,4/2/2024,22450
lct98,A,0.35,4/2/2024,500
STS-125,A,1.74,4/2/2024,550
MFLX-049,A,47.31,4/2/2024,379
STS-071,A,0.74,4/2/2024,182
MFLX-175,A,1.93,4/2/2024,384
MFLX-145,C,604.92,4/2/2024,3057
hscq49,NA,0.14,4/2/2024,227
hsc05,NA,0.17,4/2/2024,318
STS-071,A,1.57,4/2/2024,392
ctsq74,NA,0.04,4/2/2024,200
ctsq50,NA,0.2,4/2/2024,500
MFLX-175,A,23.15,4/2/2024,4655
STS-125,A,1.38,4/2/2024,392
STS-020,A,0.35,4/2/2024,188
STS-037,A,0.98,4/2/2024,291
MFLX-215,H,40.38,4/2/2024,4386
MFLX-045,NA,75.65,4/2/2024,6294
MFLX-093,A,29.44,4/2/2024,4924
STS-324,A,5.11,4/2/2024,197
STS-037,A,1.61,4/2/2024,400
STS-375,A,17.22,4/2/2024,9071
STS-361,A,53.62,4/2/2024,3354
STS-367,A,62.66,4/2/2024,2585
MFLX-030,C,106.4,4/2/2024,5403
STS-376,A,0.97,4/2/2024,155
STS-380,A,0.57,4/2/2024,392
MFLX-213,A,78.25,4/2/2024,310
STS-395,C,0.98,4/2/2024,181
MFLX-183,A,24.92,4/2/2024,674
MFLX-214,A,1.62,4/2/2024,200
STS-400,C,15.91,4/2/2024,537
MFLX-072,NA,118.53,4/2/2024,24373
STS-016,H,10.11,4/2/2024,339
MFLX-115,C,56.89,4/2/2024,10100
STS-089,A,0.61,4/2/2024,458
MFLX-075,NA,17.79,4/2/2024,23864
MFLX-110,NA,1.61,4/2/2024,306
MFLX-110,NA,1.65,4/2/2024,305
MFLX-066,NA,44.9,4/2/2024,229
MFLX-018,NA,35.47,4/2/2024,186
5400-034,NA,0.71,4/2/2024,109
5400-034,NA,0.07,4/2/2024,109
MFLX-110,NA,1.86,4/2/2024,342
ctsq43,NA,0.23,4/2/2024,500
STS-128,C,71.36,4/2/2024,2254
ETS88-015,H,4.73,4/2/2024,2427
STS-100,C,71.32,4/2/2024,2254
STS-134,C,71.32,4/2/2024,2254
STS-120,C,25.08,4/2/2024,901
STS-092,C,71.68,4/2/2024,2254
MFLX-122,H,104.85,4/2/2024,8629
RFLX-010,A,5.85,4/2/2024,308
STS-194,A,10.3,4/2/2024,3316
STS-268,A,383.02,4/2/2024,21605
5400-044,C,1.39,4/2/2024,845
RFLX-008,A,7.48,4/2/2024,500
MFLX-041,C,0.58,4/2/2024,162
MFLX-182,H,1.14,4/2/2024,458
STS-392,H,6.86,4/2/2024,201
STS-230,H,29.97,4/2/2024,388
MFLX-200,A,0.61,4/2/2024,198
ctsq35,NA,0.03,4/2/2024,150
ctsq74,NA,0.03,4/2/2024,200
ctsq41,NA,0.35,4/2/2024,500
STS-132,C,70.99,4/2/2024,2254
hsc10,NA,0.07,4/2/2024,425
ctsq25,NA,0.11,4/2/2024,189
ctsq25,NA,0.11,4/2/2024,188
ctsq38,NA,0.41,4/2/2024,167
ctsq16,NA,0.19,4/2/2024,341
ctsq39,NA,6.97,4/2/2024,2267
lct51,NA,0.02,4/2/2024,186
hscq50,NA,0.02,4/2/2024,177
STS-081,C,69.67,4/2/2024,2254
ctsq89,NA,0.29,4/2/2024,147
MFLX-190,H,231.04,4/2/2024,13760
STS-375,A,3.9,4/2/2024,2071
UFLX-027,A,2.75,4/2/2024,500
STS-153,A,2.95,4/2/2024,850
MFLX-096,A,28.36,4/2/2024,4061
STS-020,A,11.22,4/2/2024,6071
MFLX-058,NA,6.34,4/2/2024,896
STS-274,C,453.9,4/2/2024,15450
MFLX-183,A,15.77,4/2/2024,410
MFLX-088,A,0.44,4/2/2024,125
STS-016,H,22.11,4/2/2024,500
STS-396,H,27.64,4/2/2024,417
STS-360,A,14.68,4/2/2024,500
MFLX-038,A,94.07,4/2/2024,598
MFLX-069,A,1.83,4/2/2024,187
STS-360,A,4.21,4/2/2024,500
MFLX-181,NA,4.39,4/2/2024,444
STS-095,C,71.25,4/2/2024,2254
MFLX-060,NA,118.79,4/2/2024,24408
MFLX-110,NA,1.73,4/2/2024,323
5400-034,NA,0.72,4/2/2024,114
5400-034,NA,0.07,4/2/2024,114
MFLX-110,NA,1.74,4/2/2024,327
lct25,A,0.06,4/2/2024,191
MFLX-076,C,93.02,4/2/2024,18983
MFLX-115,C,56.89,4/2/2024,10096
MFLX-110,NA,2.63,4/2/2024,387
MFLX-162,NA,15.15,4/2/2024,3909
MFLX-075,NA,17.73,4/2/2024,23738
MFLX-165,A,95.17,4/2/2024,2426
MFLX-110,NA,2.15,4/2/2024,399
STS-134,C,71.22,4/2/2024,2254
MFLX-075,NA,17.71,4/2/2024,23748
MFLX-087,A,2.36,4/2/2024,261
STS-264,C,239.49,4/2/2024,2939
STS-121,C,83.4,4/2/2024,10090
STS-122,C,70.53,4/2/2024,2254
STS-128,C,72.45,4/2/2024,2254
MFLX-142,A,0.84,4/2/2024,384
MFLX-050,A,1.07,4/2/2024,278
STS-100,C,71.06,4/2/2024,2254
STS-092,C,71.49,4/2/2024,2254
5400-001,NA,0.72,4/2/2024,260
STS-145,A,7.91,4/2/2024,465
RFLX-010,A,3.57,4/2/2024,221
STS-315,A,2.01,4/2/2024,1097
MFLX-007,H,3.51,4/2/2024,159
STS-061,C,159.38,4/2/2024,2051
STS-388,A,4.28,4/2/2024,527
STS-194,A,6.38,4/2/2024,1794
MFLX-182,H,4.89,4/2/2024,1999
cts49,NA,0.74,4/2/2024,872
lct28,NA,0.1,4/2/2024,191
MFLX-225,A,52.76,4/2/2024,519
ctsq23,NA,7.85,4/2/2024,6360
ctsq38,NA,0.37,4/2/2024,125
lct27,C,0.02,4/2/2024,165
lct28,NA,4.38,4/2/2024,8832
lct57,C,0.64,4/2/2024,841
STS-020,A,0.55,4/2/2024,292
STS-272,C,15.9,4/2/2024,516
MFLX-045,NA,78.61,4/2/2024,6555
STS-368,A,3.44,4/2/2024,381
MFLX-058,NA,4.42,4/2/2024,596
STS-250,C,234.26,4/2/2024,8022
MFLX-140,NA,32.29,4/2/2024,1681
STS-396,H,23.01,4/2/2024,500
STS-360,A,4.21,4/2/2024,500
UFLX-020,NA,20.34,4/2/2024,843
5400-023,A,0.61,4/2/2024,125
MFLX-075,NA,17.64,4/2/2024,23589
MFLX-087,A,0.97,4/2/2024,125
lct25,A,0.06,4/2/2024,191
MFLX-115,C,56.9,4/2/2024,10094
MFLX-110,NA,15.19,4/2/2024,1367
STS-360,A,4.21,4/2/2024,500
MFLX-181,NA,1.27,4/2/2024,243
MFLX-142,A,68.19,4/2/2024,30720
STS-121,C,83.34,4/2/2024,10090
STS-095,C,71.27,4/2/2024,2254
MFLX-017,C,2.22,4/2/2024,3648
MFLX-020,NA,0.51,4/2/2024,108
5400-001,NA,0.74,4/2/2024,260
STS-120,C,9.71,4/2/2024,306
STS-122,C,71.74,4/2/2024,2254
MFLX-054,A,0.25,4/2/2024,500
STS-128,C,72.51,4/2/2024,2254
MFLX-186,NA,3.57,4/2/2024,938
MFLX-097,A,0.26,4/2/2024,159
STS-360,A,4.21,4/2/2024,500
STS-089,A,1.58,4/2/2024,264
STS-260,H,1186.2,4/2/2024,20956
MFLX-016,A,41.18,4/2/2024,4474
RFLX-010,A,3.9,4/2/2024,125
STS-268,A,71.19,4/2/2024,3940
STS-194,A,0.22,4/2/2024,248
MFLX-180,A,6.18,4/2/2024,260
UFLX-055,A,3.91,4/2/2024,125
STS-132,C,72.54,4/2/2024,2254
ctsq37,NA,0.51,4/2/2024,373
ctsq25,NA,0.04,4/2/2024,192
ate12,NA,4.47,4/2/2024,260
ctsq13,NA,7.78,4/2/2024,3803
lct27,C,0.04,4/2/2024,474
lct28,NA,0.1,4/2/2024,191
lct51,NA,0.01,4/2/2024,108
STS-091,H,2.14,4/2/2024,493
lct51,NA,0.02,4/2/2024,186
MFLX-175,A,0.87,4/2/2024,172
pilct01,NA,0.09,4/2/2024,144
STS-037,NA,0.41,4/2/2024,147
STS-020,A,0.35,4/2/2024,188
MFLX-057,H,0.14,4/2/2024,158
MFLX-195,A,91.69,4/2/2024,6371
MPS-007,NA,4.26,4/2/2024,25300
STS-368,A,5.56,4/2/2024,607
MFLX-120,A,10.31,4/2/2024,602
MFLX-058,NA,6.41,4/2/2024,500
MFLX-100,A,3.04,4/2/2024,142
STS-081,C,71.76,4/2/2024,2254
STS-322,H,15.86,4/2/2024,231
5400-013,NA,0.03,4/2/2024,644
5400-013,NA,0.72,4/2/2024,644
MFLX-087,A,5.77,4/2/2024,768
MFLX-075,NA,2.4,4/2/2024,500
MFLX-115,C,56.89,4/2/2024,10115
STS-322,H,22.97,4/2/2024,500
hscq27,NA,1.64,4/2/2024,5897
lct106,NA,4.24,4/2/2024,10364
STS-129,C,17.14,4/2/2024,560
STS-134,C,71.76,4/2/2024,2254
STS-100,C,71.23,4/2/2024,2254
STS-120,C,11.31,4/2/2024,386
STS-092,C,71.53,4/2/2024,2254
STS-121,C,83.29,4/2/2024,10090
STS-095,C,71.23,4/2/2024,2254
5400-001,NA,0.56,4/2/2024,125
STS-315,A,0.3,4/2/2024,200
STS-145,A,2.88,4/2/2024,168
RFRS-032,A,8.1,4/2/2024,1462
STS-194,A,0.33,4/2/2024,295
5400-047,A,1.71,4/2/2024,540
STS-287,H,691.69,4/2/2024,12276
STS-194,A,1.44,4/2/2024,768
STS-132,C,71.74,4/2/2024,2254
STS-388,H,12.93,4/2/2024,1605
STS-172,A,5.42,4/2/2024,145
ctsq86,NA,0.01,4/2/2024,107
ctsq25,NA,0.1,4/2/2024,176
cts28,NA,0.08,4/2/2024,116
ctsq54,NA,0.24,4/2/2024,621
ctsq86,NA,0.01,4/2/2024,107
cts17,NA,0.31,4/2/2024,605
UFLX-067,A,10.26,4/2/2024,242
ctsq89,NA,0.32,4/2/2024,188
MFLX-145,C,78.28,4/2/2024,464
lct28,NA,0.07,4/2/2024,125
lct36,NA,0.62,4/2/2024,768
ETS88-002,A,3.29,4/2/2024,1994
STS-020,A,5.65,4/2/2024,3055
5400-042,A,9.5,4/2/2024,170
STS-286,H,136.68,4/2/2024,2403
STS-245,C,199.18,4/2/2024,6800
STS-401,H,15.96,4/2/2024,231
STS-360,A,14.49,4/2/2024,500
MFLX-147,H,3.18,4/2/2024,188
STS-240,C,175.58,4/2/2024,5937
MFLX-076,NA,13.18,4/2/2024,2780
STS-128,C,72.96,4/2/2024,2254
MFLX-110,NA,15.31,4/2/2024,1371
MFLX-075,NA,2.48,4/2/2024,500
STS-081,C,71.37,4/2/2024,2254
STS-134,C,71.66,4/2/2024,2254
STS-092,C,71.81,4/2/2024,2254
STS-122,C,6.31,4/2/2024,202
lct25,A,0.06,4/2/2024,191
STS-100,C,71.21,4/2/2024,2254
UFLX-020,NA,12.78,4/2/2024,783
ETS88-015,H,12.58,4/2/2024,6474
STS-081,C,70.89,4/2/2024,2254
MFLX-199,A,1.24,4/2/2024,125
STS-107,H,36.65,4/2/2024,470
STS-061,C,1153.35,4/2/2024,14912
STS-303,A,2.95,4/2/2024,800
lct28,NA,0.06,4/2/2024,192
lct27,NA,0.02,4/2/2024,170
ctsq54,NA,0.13,4/2/2024,516
ctsq86,NA,0.11,4/2/2024,253
lct27,NA,0.29,4/2/2024,2126
lct98,A,0.05,4/2/2024,204
lct98,A,0.13,4/2/2024,384
ctsq89,NA,0.32,4/2/2024,188
lct98,A,0.12,4/2/2024,384
MFLX-175,A,1.07,4/2/2024,212
STS-091,H,1.59,4/2/2024,366
STS-093,A,137.04,4/2/2024,30403
ETS88-014,A,60.12,4/2/2024,48340
MPS-007,NA,0.17,4/2/2024,1004
MFLX-120,A,5.59,4/2/2024,300
STS-236,H,340.67,4/2/2024,6024
STS-286,H,24.34,4/2/2024,419
lct25,A,0.04,4/2/2024,125
MFLX-115,C,56.93,4/2/2024,10119
STS-240,C,3.99,4/2/2024,142
MFLX-147,H,3.09,4/2/2024,188
STS-401,H,23.01,4/2/2024,500
STS-120,C,59.45,4/2/2024,1899
STS-121,C,83.37,4/2/2024,10090
lct25,A,0.06,4/2/2024,192
5400-013,NA,0.59,4/2/2024,504
5400-013,NA,0.03,4/2/2024,504
hscq51,NA,0.09,4/2/2024,183
hscq51,NA,0.2,4/2/2024,348
MFLX-142,A,0.83,4/2/2024,500
STS-287,H,23.63,4/2/2024,507
STS-107,H,28.48,4/2/2024,500
MFLX-192,A,1.13,4/2/2024,384
lct98,A,0.06,4/2/2024,192
ctsq54,NA,0.22,4/2/2024,188
lct36,NA,0.33,4/2/2024,392
lct27,NA,0.02,4/2/2024,182
cts17,NA,0.47,4/2/2024,800
lct27,NA,0.02,4/2/2024,188
lct98,A,0.06,4/2/2024,192
STS-375,A,0.06,4/2/2024,164
STS-272,C,175.65,4/2/2024,5812
ETS88-006,C,189.68,4/2/2024,8426
STS-037,A,15.59,4/2/2024,5006
STS-093,A,0.78,4/2/2024,188
STS-076,A,343.62,4/2/2024,86633
STS-037,A,0.34,4/2/2024,127
STS-272,C,3.95,4/2/2024,149
STS-076,A,3.18,4/2/2024,1187
STS-245,C,4.53,4/2/2024,145
STS-252,H,343.13,4/2/2024,6123
STS-284,C,665.74,4/2/2024,22445
MFLX-087,A,0.96,4/2/2024,125
ETS88-015,H,1.2,4/2/2024,607
ltx9m,NA,1.03,4/2/2024,411
ltx9m,NA,0.3,4/2/2024,116
ltx6m,NA,0.85,4/2/2024,1017
ltx14s,NA,0.2,4/2/2024,109
ltx9m,NA,0.18,4/2/2024,335
ltx9m,NA,0.07,4/2/2024,133
ltx14s,NA,0.21,4/2/2024,107
ltx13s,NA,1.04,4/2/2024,117
ltx13s,NA,9.71,4/2/2024,4735
ltx13s,NA,0.31,4/2/2024,116
ltx6m,NA,0.1,4/2/2024,116
ltx10s,NA,0.64,4/2/2024,231
ltx13s,NA,0.14,4/2/2024,144
ltx10s,NA,0.24,4/2/2024,116
ltx11s,NA,0.16,4/2/2024,415
ltx6m,NA,0.78,4/2/2024,995
ltx11s,NA,0.04,4/2/2024,108
ltx6m,NA,0.87,4/2/2024,995
ltx6m,NA,0.09,4/2/2024,108
ltx13s,NA,3.08,4/2/2024,1437
ltx9m,NA,0.76,4/2/2024,453
ltx6m,NA,0.37,4/2/2024,820
ltx6m,NA,0.13,4/2/2024,282
ltx6m,NA,0.13,4/2/2024,282
ltx9m,NA,0.59,4/2/2024,352
ltx6m,NA,0.1,4/2/2024,222
ltx15s,NA,2.95,4/2/2024,2201
ltx15s,NA,1.02,4/2/2024,790
ltx15s,NA,0.16,4/2/2024,119
ltx14s,NA,0.89,4/2/2024,1054
ltx13s,NA,1.29,4/2/2024,548
ltx15s,NA,5.09,4/2/2024,4083
ltx15s,NA,1.29,4/2/2024,1001
ltx14s,NA,0.07,4/2/2024,130
ltx14s,NA,0.13,4/2/2024,116
ltx13s,NA,9.5,4/2/2024,4748
ETS88-004,H,5.88,4/2/2024,330
ETS88-003,C,183.02,4/2/2024,8236
01RI7100,NA,5.67,4/2/2024,11956
01RI7100,NA,0.09,4/2/2024,208
01RI7100,NA,0.24,4/2/2024,500
STS-255,H,22.84,4/2/2024,499
STS-255,H,6.04,4/2/2024,125
MFLX-038,A,30.45,4/2/2024,125
MFLX-048,NA,228.92,4/1/2024,24278
MFLX-135,NA,419.06,4/1/2024,23235
STS-266,A,805.24,4/1/2024,32364
MFLX-162,NA,211.9,4/1/2024,7020
lct81,A,13.81,4/1/2024,49919
STS-324,H,824.4,4/1/2024,34113
MFLX-062,C,155.09,4/1/2024,6368
MFLX-060,NA,46.94,4/1/2024,12693
MFLX-025,NA,213.06,4/1/2024,7020
UFLX-059,A,138.13,4/1/2024,1512
STS-191,A,878.55,4/1/2024,1327
UFLX-058,H,434.1,4/1/2024,3076
RFLX-008,H,86.94,4/1/2024,5802
STS-355,H,566.08,4/1/2024,10166
MFLX-019,H,2.72,4/1/2024,2377
MFLX-214,A,100.05,4/1/2024,18294
MFLX-112,A,38.51,4/1/2024,8633
RFLX-007,H,142.88,4/1/2024,9478
5400-023,NA,2.34,4/1/2024,1754
MFLX-083,A,54.16,4/1/2024,5390
STS-382,H,409.08,4/1/2024,7350
MFLX-084,A,88.06,4/1/2024,25352
MFLX-016,A,55.78,4/1/2024,6114
MFLX-180,A,96.77,4/1/2024,4731
5400-047,A,11.41,4/1/2024,2246
MFLX-187,A,193.05,4/1/2024,28495
cts16,NA,14.03,4/1/2024,8684
STS-387,C,1483.65,4/1/2024,17859
cts53,NA,4.58,4/1/2024,4607
MFLX-103,NA,53.2,4/1/2024,12393
ctsq59,NA,7.78,4/1/2024,4795
ctsq68,NA,21.09,4/1/2024,12250
lct50,NA,28.25,4/1/2024,50573
lct38,NA,16.29,4/1/2024,29345
lct36,NA,57.44,4/1/2024,34036
ctsq90,NA,8.94,4/1/2024,8761
MFLX-009,H,426.07,4/1/2024,9878
5400-040,A,40,4/1/2024,4482
MFLX-091,A,46.91,4/1/2024,4505
MFLX-120,A,83.44,4/1/2024,4211
STS-277,H,264.48,4/1/2024,4801
MFLX-079,A,74.14,4/1/2024,12030
MFLX-168,A,80.99,4/1/2024,13981
MFLX-159,C,252.49,4/1/2024,12547
STS-315,A,99,4/1/2024,30223
UFLX-024,H,20.57,4/1/2024,2472
STS-185,A,1186.1,4/1/2024,1825
ate01,NA,6.01,4/1/2024,2965
STS-256,C,1570.35,4/1/2024,18808
ctsq78,NA,16.64,4/1/2024,15897
lct29,A,20.7,4/1/2024,23616
lct63,NA,19.88,4/1/2024,11021
lct68,NA,6.53,4/1/2024,30834
lct99,NA,25.03,4/1/2024,37878
STS-015,H,267.1,4/1/2024,7313
STS-400,C,494.78,4/1/2024,16630
STS-368,C,154.47,4/1/2024,17068
STS-380,C,22.16,4/1/2024,21668
STS-061,C,544.82,4/1/2024,7025
MFLX-097,A,87.17,4/1/2024,19121
5400-030,A,7.34,4/1/2024,635
STS-309,H,608.37,4/1/2024,10780
ate12,NA,25.89,4/1/2024,1225
MFLX-140,A,30.9,4/1/2024,3454
MFLX-167,NA,212.91,4/1/2024,7020
hscq27,NA,0.41,4/1/2024,1276
lct27,H,5.83,4/1/2024,39681
lct67,A,10.99,4/1/2024,9805
MFLX-010,NA,51.14,4/1/2024,12405
UFLX-027,A,54.74,4/1/2024,9997
MFLX-011,A,155.65,4/1/2024,23899
MFLX-104,C,0.8,4/1/2024,234
STS-388,A,240.49,4/1/2024,30486
5400-027,A,4.28,4/1/2024,930
cts75,NA,7.35,4/1/2024,8483
MFLX-145,C,953.67,4/1/2024,4855
lct84,A,1.01,4/1/2024,2424
5400-036,H,4.13,4/1/2024,1452
UFLX-067,A,20.87,4/1/2024,700
UFLX-030,A,105.12,4/1/2024,1296
RFLX-013,A,321.46,4/1/2024,21589
MFLX-070,C,987.52,4/1/2024,5599
STS-397,A,53.87,4/1/2024,3360
STS-399,A,236.29,4/1/2024,1544
MFLX-047,A,79.7,4/1/2024,2998
MFLX-199,A,30.55,4/1/2024,2998
5400-024,A,15.2,4/1/2024,1614
STS-396,H,274.75,4/1/2024,4573
STS-259,A,195.77,4/1/2024,1292
STS-381,A,163.83,4/1/2024,1052
MFLX-154,A,140.77,4/1/2024,18595
ctsq26,NA,2.46,4/1/2024,643
ctsq39,H,33.69,4/1/2024,20412
ctsq31,NA,6.23,4/1/2024,1255
MFLX-165,A,208.95,4/1/2024,6481
hscq53,NA,11.98,4/1/2024,2713
MFLX-037,A,104.88,4/1/2024,5200
MFLX-058,NA,86.76,4/1/2024,6975
MFLX-096,A,34.83,4/1/2024,4989
UFLX-047,NA,147.21,4/1/2024,2906
MFLX-183,A,448.64,4/1/2024,11444
MFLX-004,A,17.32,4/1/2024,2016
MFLX-161,H,43.43,4/1/2024,9258
MFLX-217,A,263.92,4/1/2024,1271
RFLX-012,A,20.32,4/1/2024,2279
MFLX-077,A,61.63,4/1/2024,14929
STS-347,A,146.79,4/1/2024,777
UFLX-017,C,520.3,4/1/2024,6565
MFLX-075,NA,118.75,4/1/2024,24244
hscq36,NA,0.82,4/1/2024,287
ctsq13,NA,4.29,4/1/2024,5093
lct106,NA,11.69,4/1/2024,28380
MFLX-136,H,10.24,4/1/2024,3309
UFLX-078,C,518.39,4/1/2024,6740
a56511t,NA,2.03,4/1/2024,11790
ctsq37,NA,3.54,4/1/2024,1222
lct98,H,1.9,4/1/2024,13609
MFLX-148,A,1123.79,4/1/2024,7925
STS-249,H,812.7,4/1/2024,9798
pilct01,NA,0.37,4/1/2024,935
STS-011,C,17.92,4/1/2024,462
MFLX-194,H,40.57,4/1/2024,3010
MFLX-212,A,42.16,4/1/2024,48679
MFLX-045,A,90,4/1/2024,6286
STS-326,A,28.6,4/1/2024,4413
5400-005,A,2.13,4/1/2024,320
STS-237,H,138.14,4/1/2024,2450
STS-308,A,79.09,4/1/2024,4471
5400-037,A,6.07,4/1/2024,493
STS-389,A,162.85,4/1/2024,1054
STS-377,C,1010.43,4/1/2024,12249
ctsq16,NA,0.37,4/1/2024,1082
MFLX-105,NA,32.51,4/1/2024,169
ctsq86,NA,7.69,4/1/2024,18001
STS-121,C,83.48,4/1/2024,10090
STS-178,A,55.64,4/1/2024,145
UFLX-076,NA,659.98,4/1/2024,3139
MFLX-030,C,254.34,4/1/2024,12686
STS-264,C,1295.71,4/1/2024,15522
5400-012,A,12.03,4/1/2024,2516
MFLX-195,NA,19.8,4/1/2024,1735
5400-028,A,2.67,4/1/2024,270
MFLX-147,A,19.92,4/1/2024,942
5400-001,A,8.76,4/1/2024,1139
RFLX-009,A,8.54,4/1/2024,7962
MFLX-054,H,3.63,4/1/2024,5616
STS-132,C,72.01,4/1/2024,2254
